"iso_2","iso_3","country","year","beer_excise_hl_usd","beer_low_alc_usd","still_wine_excise_hl_usd","sparkling_wine_excise_hl_usd","low_alc_excise_hl_usd","alc_excise_hl_usd","small_dist_rate","cigarette_excise_1k_usd","cigarette_excise_1k_pct_rsp","cigar_excise_1k_usd","cigar_excise_1k_pct_rsp","roll_tob_excise_1kg_usd","roll_tob_excise_1kg_pct_rsp","cig_pack_ex_tax_price_usd","cig_pack_specific_pct_rsp","cig_pack_ad_val_pct_rsp","cig_pack_sales_pct_rsp","cig_pack_total_tax_pct_rsp","cig_pack_price_usd","unleaded_total_tax_pct_price","unleaded_excise_pct_price","diesel_total_tax_pct_price","diesel_excise_pct_price","household_fuel_total_tax_pct_price","household_fuel_excise_pct_price"
"CL","CHL","Chile",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.1487460273284,39.5062856291962,28.1512822435653,14.5615143526052,15.9663865546218,0
"CL","CHL","Chile",2018,NA,NA,NA,NA,NA,NA,0,71.4111734599494,30,0,52.6,0,59.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CL","CHL","Chile",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.9069458526544,39.199313240757,28.1248152820602,13.0637093682762,15.9663865546219,0
"CL","CHL","Chile",2020,NA,NA,NA,NA,NA,NA,0,65.9026888604353,30,0,52.6,0,59.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CO","COL","Colombia",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9795707830231,17.2176660211184,14.3500240413246,9.56712381943862,NA,NA
"CO","COL","Colombia",2020,NA,NA,NA,NA,NA,NA,0,37.0333116924681,10,37.0333116924681,10,58.8265774209575,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ","CZE","Czech Republic",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.809958932238193,33.1,27,17.36,77.46,3.59342915811088,NA,NA,NA,NA,NA,NA
"CZ","CZE","Czech Republic",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76323240589198,33.95,27,17.36,78.31,3.51882160392799,NA,NA,NA,NA,NA,NA
"CZ","CZE","Czech Republic",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.7846811688548,42.4293092680283,54.4742676221534,37.1188957213269,21.6442109121061,4.28883901127965
"CZ","CZE","Czech Republic",2018,3.42026507054297,NA,0,100.042753313382,0,1218.46943138093,0,62.4198375374092,27,73.1081658828559,NA,95.5964087216759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
