"iso_2","iso_3","country","tobacco_excise_type","tobacco_excise","oecd_avg_excise"
"IT","ITA","Italy","roll_tob_excise_1kg_pct_rsp",58.5,17.276875
"JP","JPN","Japan","roll_tob_excise_1kg_pct_rsp",0,17.276875
"KR","KOR","Korea","roll_tob_excise_1kg_pct_rsp",0,17.276875
"LT","LTU","Lithuania","roll_tob_excise_1kg_pct_rsp",NA,17.276875
"LU","LUX","Luxembourg","roll_tob_excise_1kg_pct_rsp",33.15,17.276875
"LV","LVA","Latvia","roll_tob_excise_1kg_pct_rsp",NA,17.276875
"MX","MEX","Mexico","roll_tob_excise_1kg_pct_rsp",NA,17.276875
"NL","NLD","Netherlands","roll_tob_excise_1kg_pct_rsp",0,17.276875
"NO","NOR","Norway","roll_tob_excise_1kg_pct_rsp",0,17.276875
"NZ","NZL","New Zealand","roll_tob_excise_1kg_pct_rsp",0,17.276875
"PL","POL","Poland","roll_tob_excise_1kg_pct_rsp",32.05,17.276875
"PT","PRT","Portugal","roll_tob_excise_1kg_pct_rsp",15,17.276875
"SE","SWE","Sweden","roll_tob_excise_1kg_pct_rsp",0,17.276875
"SI","SVN","Slovenia","roll_tob_excise_1kg_pct_rsp",37,17.276875
"SK","SVK","Slovak Republic","roll_tob_excise_1kg_pct_rsp",0,17.276875
"TR","TUR","Turkey","roll_tob_excise_1kg_pct_rsp",40,17.276875
"US","USA","United States","roll_tob_excise_1kg_pct_rsp",NA,17.276875
